2026-07-01 09:17:52 | ERROR | [download] https://storage.trustifyreview.app/trustify-google-review/stores/livewellwith.myshopify.com/logo_ChIJGea2UobvDDkR48jsGC0B2kg.webp -> failed after 3 attempts: HTTP 502
2026-07-01 09:17:53 | ERROR | [convert] https://storage.trustifyreview.com/trustify-google-review/assets/images/storefront/google.svg -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:17:53 | ERROR | [convert] https://fonts.googleapis.com/css2?family=Outfit:wght@400;600;700&display=swap -> cannot identify image file 'D:\\files\\images\\raw_020.jpg'
2026-07-01 09:17:53 | ERROR | [convert] https://cdn.shopify.com/videos/c/o/v/61eb1c081c1a49afa7f4cc10f36a3010.mp4 -> cannot identify image file 'D:\\files\\images\\raw_019.jpg'
2026-07-01 09:17:56 | ERROR | [convert] https://wellwithlife.com/#slideshow-wave-desktop-template--18130607505608__slideshow_wave_7FdV9A -> cannot identify image file 'D:\\files\\images\\raw_067.jpg'
2026-07-01 09:17:58 | ERROR | [convert] https://wellwithlife.com/#slideshow-wave-mobile-template--18130607505608__slideshow_wave_7FdV9A -> cannot identify image file 'D:\\files\\images\\raw_068.jpg'
2026-07-01 09:17:59 | ERROR | [convert] https://wellwithlife.com/#slideshow-wave-template--18130607505608__slideshow_wave_7FdV9A -> cannot identify image file 'D:\\files\\images\\raw_069.jpg'
2026-07-01 09:18:15 | ERROR | [convert] https://wellwithlife.com/cdn/shop/files/Frame_1686553194.svg?v=1755169176&width=24 -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:18:15 | ERROR | [convert] https://wellwithlife.com/cdn/shop/files/Frame_1686553194.svg?v=1755169176&width=40 -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:18:15 | ERROR | [convert] https://wellwithlife.com/cdn/shop/files/Frame_1686553195.svg?v=1755169212&width=24 -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:18:15 | ERROR | [convert] https://wellwithlife.com/cdn/shop/files/Frame_1686553195.svg?v=1755169212&width=40 -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:18:15 | ERROR | [convert] https://wellwithlife.com/cdn/shop/files/Frame_1686553195_1.svg?v=1755169239&width=24 -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:18:15 | ERROR | [convert] https://wellwithlife.com/cdn/shop/files/Frame_1686553195_1.svg?v=1755169239&width=40 -> SVG conversion requires the optional Cairo runtime and cairosvg; installation is missing, so this file could not be converted.
2026-07-01 09:18:50 | ERROR | [convert] https://wellwithlife.com/cdn/shop/videos/c/vp/5504b653e47a4aa28ce22148b5f2c0ad/5504b653e47a4aa28ce22148b5f2c0ad.m3u8?v=0 -> cannot identify image file 'D:\\files\\images\\raw_538.jpg'
2026-07-01 09:18:50 | ERROR | [convert] https://wellwithlife.com/cdn/shop/videos/c/vp/72378c7fadb6415abc3fe2c285a59fe1/72378c7fadb6415abc3fe2c285a59fe1.m3u8?v=0 -> cannot identify image file 'D:\\files\\images\\raw_540.jpg'
2026-07-01 09:18:50 | ERROR | [convert] https://wellwithlife.com/cdn/shop/videos/c/vp/f16892a258e0473a9a0f5c37c53c0290/f16892a258e0473a9a0f5c37c53c0290.m3u8?v=0 -> cannot identify image file 'D:\\files\\images\\raw_542.jpg'
